Product Name,Brand Name,Price,Rating,Reviews,Review Votes
"ALCATEL OneTouch Pixi 3 Global Unlocked 4G LTE Smartphone, 4.5 Display, 8GB (GSM - US Warranty)",Alcatel,79.95,2,The phone instrument is too frail and the touch is not friendly. Have not had the phone more than a month but I am not happy with it.,0
"ALCATEL OneTouch Pixi 3 Global Unlocked 4G LTE Smartphone, 4.5 Display, 8GB (GSM - US Warranty)",Alcatel,79.95,3,"Great compact, economical phone. The only downside is the internal storage space. I can't even fit Twitter on my new phone as it wants to install everything on the internal memory.",1
"ALCATEL OneTouch Pixi 3 Global Unlocked 4G LTE Smartphone, 4.5 Display, 8GB (GSM - US Warranty)",Alcatel,79.95,4,"Good phone. Responsive. Works well with Tracfone SIM card installed. Does not have unneeded propriatary apps from other cell phone providers (like an unlocked ATT&T GSM phone I had used that was a Huawei Fusion.But note carefully: It does NOT have 8 GB of internal storage! The description on this page is OFF on two locations, 1) on the heading itself and 2) in the comparison chart.Amazon sent a replacement and it had the same amount of internal storage: 4 GB. So far I have used 2.1 GB of the 4 GB. Whenever I download a new app, I make sure it is stored (if possible) to the 32 GB SD card I have in it. So far, so good, but be aware.I have contacted Customer Service and they are supposed to change the product page to reflect the 4 GB truth.",0
"ALCATEL OneTouch Pixi 3 Global Unlocked 4G LTE Smartphone, 4.5 Display, 8GB (GSM - US Warranty)",Alcatel,79.95,3,"THE PONE WAS WORKING GREAT, BUT AFTER 5 MONTHS I DON'T KNOW WHY THE BRIGHTNESS OF THE SCREEN SUDDENLY IS GOING CRAZY!! HOPE SOMEONE CAN HELP ME!!",0
"ALCATEL OneTouch Pixi 3 Global Unlocked 4G LTE Smartphone, 4.5 Display, 8GB (GSM - US Warranty)",Alcatel,79.95,5,great basic phone for whatsapp instagram messenger twitter facebook etr,0
"ALCATEL OneTouch Pixi 3 Global Unlocked 4G LTE Smartphone, 4.5 Display, 8GB (GSM - US Warranty)",Alcatel,79.95,4,No,0
"ALCATEL OneTouch Pixi 3 Global Unlocked 4G LTE Smartphone, 4.5 Display, 8GB (GSM - US Warranty)",Alcatel,79.95,5,Perfect,0
"ALCATEL OneTouch Pixi 3 Global Unlocked 4G LTE Smartphone, 4.5 Display, 8GB (GSM - US Warranty)",Alcatel,79.95,5,it was as expected,0
"ALCATEL OneTouch Pixi 3 Global Unlocked 4G LTE Smartphone, 4.5 Display, 8GB (GSM - US Warranty)",Alcatel,79.95,5,It's nice. I'm using it with my government sim card. It makes a good replacement phone for the Obama phone.,0
"ALCATEL OneTouch Pixi 3 Global Unlocked 4G LTE Smartphone, 4.5 Display, 8GB (GSM - US Warranty)",Alcatel,79.95,5,"I wish I could give it 4.75 stars, but 4 doesn't seem like enough, so I gave it 5. For $65 ($60 as I write this), I have exactly as much phone as I want and need. Sure, the screen could be better, and I miss having an ambient light sensor, but otherwise I'm very happy. It's small enough to fit in my front pants pocket while cycling, TCL's Android is nearly stock and I get two full days on a charge. I ""upgraded"" from a first-gen Moto E, and this adds LTE, a flash (most for the flashlight), and a camera with focus.). Not bad for about half the price two years later.",1
"ALCATEL OneTouch Pixi 3 Global Unlocked 4G LTE Smartphone, 4.5 Display, 8GB (GSM - US Warranty)",Alcatel,79.95,3,good for the price.,0
"ALCATEL OneTouch Pixi 3 Global Unlocked 4G LTE Smartphone, 4.5 Display, 8GB (GSM - US Warranty)",Alcatel,79.95,5,Excelent phone !,0
"ALCATEL OneTouch Pixi 3 Global Unlocked 4G LTE Smartphone, 4.5 Display, 8GB (GSM - US Warranty)",Alcatel,79.95,1,Returned because didnt start the oper. System after the updates,0
"ALCATEL OneTouch Pixi 3 Global Unlocked 4G LTE Smartphone, 4.5 Display, 8GB (GSM - US Warranty)",Alcatel,79.95,4,"I bought this little fella for a cousin living out the country and so far so good, it works perfectly for the price. Good phone for a good price.",1
"ALCATEL OneTouch Pixi 3 Global Unlocked 4G LTE Smartphone, 4.5 Display, 8GB (GSM - US Warranty)",Alcatel,79.95,4,Its a good cheap phone,1
"ALCATEL OneTouch Pixi 3 Global Unlocked 4G LTE Smartphone, 4.5 Display, 8GB (GSM - US Warranty)",Alcatel,79.95,4,Surprisingly good. Recommended! NOTE: Not compatible with Cardboard!,0
