Product Name,Brand Name,Price,Rating,Reviews,Review Votes
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,5,Was a gift for my husband and he loves it. Replaced a first gen droid so there was no place to go but up.The phone came in a plain white box with charging cable. It looked brand new and unused.So far it has performed as a new phone with no troubles whatsoever.,5
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,5,"Great price, extremely fast shipping works as advertized!",1
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,4,"Moving from Android to Apple...my kids have this phone too and keep me straight on using it. Phone is superb and, while Apple has its moments, it is intuitive to use. Seller was VERY responsive...only reason not a 5 star is ""new"" phone had been opened for imei verification. Not sure that's industry standard. If it is, seller is 5 star.",1
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,4,"It is compatible with Verizon. Not pink but PEACH, pretty beaten up...but not bad enough to return. A descent value for anyone who doesn't want to spend a fortune on a phone!",0
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,5,I love this phone! Thank you so much.,1
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,5,norm!,0
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,5,I got this for my husband and he absolutely loves it.,1
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,1,"The discription reads that it is a Verizon Wireless phone. However, I did not receive a Verizon phone like promised and was unable to use it. It is also a phone of much lesser value if you try to sell it.",21
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,4,"Basically in the condition described. However, with no SIM card it could not be used out of the box.",0
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,5,This phone is GREAT! While I didn't hear back from the seller - the service was QUICK! Thanks!,1
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,3,"By mistake, I bought a wrong iPhone. It can not work outside America. The refund was 100%.",0
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,1,"Purchased from CellMania. First phone spent 4 hours at Verizon and could not get activated. Verizon determined the antenna was bad. Returned to CellMania and they sent a new phone after 5 days. Second phone would activate but had no service at home only in town (my son and daughters iphone 5c and iphone 5s have no service issues). Returned second phone and requested a refund. Refund was received next day. Unhappy with the phone quality and the wasted time trying to activate. Refund was quick. Back to my old iphone 4s spoiled by the whole process of trying to upgrade ""cheaply""",3
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,5,Great.,0
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,2,Although the sender was very helpful the product was not compatible with my carrier,0
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,5,"Great phone, works perfectly. It has a fast operating system, and I have had it for about a month and never had an issue with it.",0
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,1,It was supposed to be a verizon compatible phone but it was a sprint phone.,7
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,5,Great,0
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,1,phone was locked - cannot use,0
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,5,Very satisfied with the quality. This was the first time I'd bought a used phone and I'm very satisfied. The return policy and pictures made me feel better about ordering and I'm likely to do this again in the future.,0
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,1,Purchased phone SIM card missing and there was no sound. Quality awful! Response was they sell a lot of phones and tested does not seem likely,0
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,1,"After reviewing the phone and trying everything ywsteady to switch over to this phone it would not work. I ordered a new sim as well. Long story short, boh were a waste of my time and money and the phone did not come with a charger. The phone itself is in great condition, but was a waste for me.",0
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,2,Home button has a mind of its own working sporadically not very happy,0
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,5,very good,0
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,5,Works great!,0
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,5,Received iPhone in a timely manner. The phone works great!,0
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,5,Phone was perfect!,0
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,5,"Awesome exactly as described. Works great, no troubles, received quickly. Thank you.",0
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,5,bought it for a friend. works great.,0
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,5,It works like new. Got here faster than expected,0
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,1,"The first phone I received did not work properly and did not come in the original box as stated. This phone was returned and a new device was shipped out promptly. However, the 2nd device did not work properly either. The charger does not work and again, it was not in the original box as stated. Neither phone came with original accessories, as stated.When the charger for the replacement phone is plugged in, a pop up clearly states that it is not an original or correct charger. It does nothing for this phone.I will not be purchasing from this seller again.",0
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,1,"Received phone on time and it was ready to be connected to Verizon.UPDATED: 4 months after I got the phone the screen stopped working. No touch screen. It was obvious when I recieved it that the screen had been replaced, I'm guessing it was cheaply done. Do not recommend.",1
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,2,The home button doesn't work and with all the money I paid for the iPhone 5c it's kind of a rip off,1
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,5,the phone got delivered so fast & the phone is working great! I love it!!,0
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,5,Nice phone for the price. Great for a kids first phone. Enough GB and good features at a low price.,0
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,5,Great phone,0
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,5,Love this phone. Like brand new..no problems. Very happy with my purchase.,0
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,3,"Minor, very annoying glitch when texting. Not a like new purchase at all.",0
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,1,Broke within two weeks and couldn't turn it back on!! Also time zone was stuck on Austria!!!!,0
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,5,"I got the phone in a very timely manner! :) It was exactly in the shape they said it would be. ""A few wear and tear scratches, but looks very good."" They were right, the back had a few scratches, but nothing that my Otterbox would not cover over anyways! :) The screen was perfect, not one scratch on it! I am NOT a technology person, and I didn't understand the ""No SIM card"" thing. I had no clue that it was a needed thing for my phone. However, I took my phone to Verizon to get it activated and they just gave me one, no problem, no charge. It was simple.THANK YOU VERY MUCH, for the great service and the phone. It was a great price for the item that I needed and I will be sure to come back to this company again for a phone in my future!:)",0
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,5,works great,0
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,5,Honestly freaked me out a little because it did not come with a sim card but I should'nt have expected that anyways. The seller gave nice institutions on what to do about getting a sim card and activating the phone. My phone is now activated and i am very happy!,4
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,5,This shipped so fast and my son was so excited to receive it earlier than expected. Great condition phone and well worth the money. Thanks for the quality product and fast shipping - it truly made his day!,2
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,5,I am very pleased with my phone. It was in great shape and has been working perfectly. It was also affordable.,1
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33,1,"First off this is NOT a verizon phone. I put the verizon sim card in it and it did not get any cell service. I contacted verizon and they told me the serial number was not a real phone so what is it?? Ridiculous. Second. It charged one time. And did not charge agian. The phone would not take a charge. It said charging, but the battery just went down. Better get a refund.",11
